image_path (upload exactly here in your repo),size,article,suggested prompt / description
images/apples-health-guide/carousel-3-2.jpg,700x480,Apples: A Complete Health Guide,"everyday healthy lifestyle scene related to Apples: A Complete Health Guide, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/apples-health-guide/carousel-3-3.jpg,700x480,Apples: A Complete Health Guide,"everyday healthy lifestyle scene related to Apples: A Complete Health Guide, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/apples-health-guide/carousel-3-4.jpg,700x480,Apples: A Complete Health Guide,"everyday healthy lifestyle scene related to Apples: A Complete Health Guide, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/apples-health-guide/cover.jpg,1000x560,Apples: A Complete Health Guide,"fresh red apples closeup, healthy fruit, clean nutrition photography style"
images/arthritis-joint-pain/carousel-1-1.jpg,700x480,Arthritis: Why Joints Become Painful,"knee joint cartilage illustration, arthritis, medical diagram style (photo 1 of 4, a different angle/moment than the others in this set)"
images/arthritis-joint-pain/carousel-1-2.jpg,700x480,Arthritis: Why Joints Become Painful,"knee joint cartilage illustration, arthritis, medical diagram style (photo 2 of 4, a different angle/moment than the others in this set)"
images/arthritis-joint-pain/carousel-1-3.jpg,700x480,Arthritis: Why Joints Become Painful,"knee joint cartilage illustration, arthritis, medical diagram style (photo 3 of 4, a different angle/moment than the others in this set)"
images/arthritis-joint-pain/carousel-1-4.jpg,700x480,Arthritis: Why Joints Become Painful,"knee joint cartilage illustration, arthritis, medical diagram style (photo 4 of 4, a different angle/moment than the others in this set)"
images/arthritis-joint-pain/carousel-2-1.jpg,700x480,Arthritis: Why Joints Become Painful,"everyday healthy lifestyle scene related to Arthritis: Why Joints Become Painful, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/arthritis-joint-pain/carousel-2-2.jpg,700x480,Arthritis: Why Joints Become Painful,"everyday healthy lifestyle scene related to Arthritis: Why Joints Become Painful, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/arthritis-joint-pain/carousel-2-3.jpg,700x480,Arthritis: Why Joints Become Painful,"everyday healthy lifestyle scene related to Arthritis: Why Joints Become Painful, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/arthritis-joint-pain/carousel-2-4.jpg,700x480,Arthritis: Why Joints Become Painful,"everyday healthy lifestyle scene related to Arthritis: Why Joints Become Painful, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/arthritis-joint-pain/carousel-3-1.jpg,700x480,Arthritis: Why Joints Become Painful,"everyday healthy lifestyle scene related to Arthritis: Why Joints Become Painful, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/arthritis-joint-pain/carousel-3-2.jpg,700x480,Arthritis: Why Joints Become Painful,"everyday healthy lifestyle scene related to Arthritis: Why Joints Become Painful, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/arthritis-joint-pain/carousel-3-3.jpg,700x480,Arthritis: Why Joints Become Painful,"everyday healthy lifestyle scene related to Arthritis: Why Joints Become Painful, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/arthritis-joint-pain/carousel-3-4.jpg,700x480,Arthritis: Why Joints Become Painful,"everyday healthy lifestyle scene related to Arthritis: Why Joints Become Painful, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/arthritis-joint-pain/cover.jpg,1000x560,Arthritis: Why Joints Become Painful,"joint pain knee illustration, arthritis, clean medical style"
images/asthma-respiratory-health/carousel-1-1.jpg,700x480,Asthma and Respiratory Health Explained,"lungs airway inflammation diagram, asthma, medical illustration style (photo 1 of 4, a different angle/moment than the others in this set)"
images/asthma-respiratory-health/carousel-1-2.jpg,700x480,Asthma and Respiratory Health Explained,"lungs airway inflammation diagram, asthma, medical illustration style (photo 2 of 4, a different angle/moment than the others in this set)"
images/asthma-respiratory-health/carousel-1-3.jpg,700x480,Asthma and Respiratory Health Explained,"lungs airway inflammation diagram, asthma, medical illustration style (photo 3 of 4, a different angle/moment than the others in this set)"
images/asthma-respiratory-health/carousel-1-4.jpg,700x480,Asthma and Respiratory Health Explained,"lungs airway inflammation diagram, asthma, medical illustration style (photo 4 of 4, a different angle/moment than the others in this set)"
images/asthma-respiratory-health/carousel-2-1.jpg,700x480,Asthma and Respiratory Health Explained,"everyday healthy lifestyle scene related to Asthma and Respiratory Health Explained, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/asthma-respiratory-health/carousel-2-2.jpg,700x480,Asthma and Respiratory Health Explained,"everyday healthy lifestyle scene related to Asthma and Respiratory Health Explained, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/asthma-respiratory-health/carousel-2-3.jpg,700x480,Asthma and Respiratory Health Explained,"everyday healthy lifestyle scene related to Asthma and Respiratory Health Explained, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/asthma-respiratory-health/carousel-2-4.jpg,700x480,Asthma and Respiratory Health Explained,"everyday healthy lifestyle scene related to Asthma and Respiratory Health Explained, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/asthma-respiratory-health/carousel-3-1.jpg,700x480,Asthma and Respiratory Health Explained,"everyday healthy lifestyle scene related to Asthma and Respiratory Health Explained, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/asthma-respiratory-health/carousel-3-2.jpg,700x480,Asthma and Respiratory Health Explained,"everyday healthy lifestyle scene related to Asthma and Respiratory Health Explained, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/asthma-respiratory-health/carousel-3-3.jpg,700x480,Asthma and Respiratory Health Explained,"everyday healthy lifestyle scene related to Asthma and Respiratory Health Explained, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/asthma-respiratory-health/carousel-3-4.jpg,700x480,Asthma and Respiratory Health Explained,"everyday healthy lifestyle scene related to Asthma and Respiratory Health Explained, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/asthma-respiratory-health/cover.jpg,1000x560,Asthma and Respiratory Health Explained,"lungs airways illustration, respiratory system, clean medical style"
images/back-pain/carousel-1-1.jpg,700x480,Why Your Back Hurts (And What Actually Helps),"good posture desk setup, ergonomic illustration, clean wellness style (photo 1 of 4, a different angle/moment than the others in this set)"
images/back-pain/carousel-1-2.jpg,700x480,Why Your Back Hurts (And What Actually Helps),"good posture desk setup, ergonomic illustration, clean wellness style (photo 2 of 4, a different angle/moment than the others in this set)"
images/back-pain/carousel-1-3.jpg,700x480,Why Your Back Hurts (And What Actually Helps),"good posture desk setup, ergonomic illustration, clean wellness style (photo 3 of 4, a different angle/moment than the others in this set)"
images/back-pain/carousel-1-4.jpg,700x480,Why Your Back Hurts (And What Actually Helps),"good posture desk setup, ergonomic illustration, clean wellness style (photo 4 of 4, a different angle/moment than the others in this set)"
images/back-pain/carousel-2-1.jpg,700x480,Why Your Back Hurts (And What Actually Helps),"everyday healthy lifestyle scene related to Why Your Back Hurts (And What Actually Helps), warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/back-pain/carousel-2-2.jpg,700x480,Why Your Back Hurts (And What Actually Helps),"everyday healthy lifestyle scene related to Why Your Back Hurts (And What Actually Helps), warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/back-pain/carousel-2-3.jpg,700x480,Why Your Back Hurts (And What Actually Helps),"everyday healthy lifestyle scene related to Why Your Back Hurts (And What Actually Helps), warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/back-pain/carousel-2-4.jpg,700x480,Why Your Back Hurts (And What Actually Helps),"everyday healthy lifestyle scene related to Why Your Back Hurts (And What Actually Helps), warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/back-pain/carousel-3-1.jpg,700x480,Why Your Back Hurts (And What Actually Helps),"everyday healthy lifestyle scene related to Why Your Back Hurts (And What Actually Helps), warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/back-pain/carousel-3-2.jpg,700x480,Why Your Back Hurts (And What Actually Helps),"everyday healthy lifestyle scene related to Why Your Back Hurts (And What Actually Helps), warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/back-pain/carousel-3-3.jpg,700x480,Why Your Back Hurts (And What Actually Helps),"everyday healthy lifestyle scene related to Why Your Back Hurts (And What Actually Helps), warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/back-pain/carousel-3-4.jpg,700x480,Why Your Back Hurts (And What Actually Helps),"everyday healthy lifestyle scene related to Why Your Back Hurts (And What Actually Helps), warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/back-pain/cover.jpg,1000x560,Why Your Back Hurts (And What Actually Helps),"person with good posture at desk, back health, clean wellness illustration"
images/blood-circulation/carousel-1-1.jpg,700x480,How Blood Circulation Works,"blood vessels arteries veins diagram, circulation, medical illustration style (photo 1 of 4, a different angle/moment than the others in this set)"
images/blood-circulation/carousel-1-2.jpg,700x480,How Blood Circulation Works,"blood vessels arteries veins diagram, circulation, medical illustration style (photo 2 of 4, a different angle/moment than the others in this set)"
images/blood-circulation/carousel-1-3.jpg,700x480,How Blood Circulation Works,"blood vessels arteries veins diagram, circulation, medical illustration style (photo 3 of 4, a different angle/moment than the others in this set)"
images/blood-circulation/carousel-1-4.jpg,700x480,How Blood Circulation Works,"blood vessels arteries veins diagram, circulation, medical illustration style (photo 4 of 4, a different angle/moment than the others in this set)"
images/blood-circulation/carousel-2-1.jpg,700x480,How Blood Circulation Works,"everyday healthy lifestyle scene related to How Blood Circulation Works, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/blood-circulation/carousel-2-2.jpg,700x480,How Blood Circulation Works,"everyday healthy lifestyle scene related to How Blood Circulation Works, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/blood-circulation/carousel-2-3.jpg,700x480,How Blood Circulation Works,"everyday healthy lifestyle scene related to How Blood Circulation Works, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/blood-circulation/carousel-2-4.jpg,700x480,How Blood Circulation Works,"everyday healthy lifestyle scene related to How Blood Circulation Works, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/blood-circulation/carousel-3-1.jpg,700x480,How Blood Circulation Works,"everyday healthy lifestyle scene related to How Blood Circulation Works, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/blood-circulation/carousel-3-2.jpg,700x480,How Blood Circulation Works,"everyday healthy lifestyle scene related to How Blood Circulation Works, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/blood-circulation/carousel-3-3.jpg,700x480,How Blood Circulation Works,"everyday healthy lifestyle scene related to How Blood Circulation Works, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/blood-circulation/carousel-3-4.jpg,700x480,How Blood Circulation Works,"everyday healthy lifestyle scene related to How Blood Circulation Works, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/blood-circulation/cover.jpg,1000x560,How Blood Circulation Works,"blood vessels circulation system illustration, clean medical style, red and blue"
images/blood-pressure/carousel-1-1.jpg,700x480,High Blood Pressure: What You Need to Know,"blood pressure numbers chart, systolic diastolic, medical infographic style (photo 1 of 4, a different angle/moment than the others in this set)"
images/blood-pressure/carousel-1-2.jpg,700x480,High Blood Pressure: What You Need to Know,"blood pressure numbers chart, systolic diastolic, medical infographic style (photo 2 of 4, a different angle/moment than the others in this set)"
images/blood-pressure/carousel-1-3.jpg,700x480,High Blood Pressure: What You Need to Know,"blood pressure numbers chart, systolic diastolic, medical infographic style (photo 3 of 4, a different angle/moment than the others in this set)"
images/blood-pressure/carousel-1-4.jpg,700x480,High Blood Pressure: What You Need to Know,"blood pressure numbers chart, systolic diastolic, medical infographic style (photo 4 of 4, a different angle/moment than the others in this set)"
images/blood-pressure/carousel-2-1.jpg,700x480,High Blood Pressure: What You Need to Know,"everyday healthy lifestyle scene related to High Blood Pressure: What You Need to Know, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/blood-pressure/carousel-2-2.jpg,700x480,High Blood Pressure: What You Need to Know,"everyday healthy lifestyle scene related to High Blood Pressure: What You Need to Know, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/blood-pressure/carousel-2-3.jpg,700x480,High Blood Pressure: What You Need to Know,"everyday healthy lifestyle scene related to High Blood Pressure: What You Need to Know, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/blood-pressure/carousel-2-4.jpg,700x480,High Blood Pressure: What You Need to Know,"everyday healthy lifestyle scene related to High Blood Pressure: What You Need to Know, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/blood-pressure/carousel-3-1.jpg,700x480,High Blood Pressure: What You Need to Know,"everyday healthy lifestyle scene related to High Blood Pressure: What You Need to Know, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/blood-pressure/carousel-3-2.jpg,700x480,High Blood Pressure: What You Need to Know,"everyday healthy lifestyle scene related to High Blood Pressure: What You Need to Know, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/blood-pressure/carousel-3-3.jpg,700x480,High Blood Pressure: What You Need to Know,"everyday healthy lifestyle scene related to High Blood Pressure: What You Need to Know, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/blood-pressure/carousel-3-4.jpg,700x480,High Blood Pressure: What You Need to Know,"everyday healthy lifestyle scene related to High Blood Pressure: What You Need to Know, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/blood-pressure/cover.jpg,1000x560,High Blood Pressure: What You Need to Know,"blood pressure monitor and cuff on arm, clean medical photo style, soft blue tones"
images/blood-sugar/carousel-1-1.jpg,700x480,Blood Sugar and Diabetes: A Simple Guide,"insulin glucose pancreas illustration, medical diagram style, clean (photo 1 of 4, a different angle/moment than the others in this set)"
images/blood-sugar/carousel-1-2.jpg,700x480,Blood Sugar and Diabetes: A Simple Guide,"insulin glucose pancreas illustration, medical diagram style, clean (photo 2 of 4, a different angle/moment than the others in this set)"
images/blood-sugar/carousel-1-3.jpg,700x480,Blood Sugar and Diabetes: A Simple Guide,"insulin glucose pancreas illustration, medical diagram style, clean (photo 3 of 4, a different angle/moment than the others in this set)"
images/blood-sugar/carousel-1-4.jpg,700x480,Blood Sugar and Diabetes: A Simple Guide,"insulin glucose pancreas illustration, medical diagram style, clean (photo 4 of 4, a different angle/moment than the others in this set)"
images/blood-sugar/carousel-2-1.jpg,700x480,Blood Sugar and Diabetes: A Simple Guide,"everyday healthy lifestyle scene related to Blood Sugar and Diabetes: A Simple Guide, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/blood-sugar/carousel-2-2.jpg,700x480,Blood Sugar and Diabetes: A Simple Guide,"everyday healthy lifestyle scene related to Blood Sugar and Diabetes: A Simple Guide, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/blood-sugar/carousel-2-3.jpg,700x480,Blood Sugar and Diabetes: A Simple Guide,"everyday healthy lifestyle scene related to Blood Sugar and Diabetes: A Simple Guide, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/blood-sugar/carousel-2-4.jpg,700x480,Blood Sugar and Diabetes: A Simple Guide,"everyday healthy lifestyle scene related to Blood Sugar and Diabetes: A Simple Guide, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/blood-sugar/carousel-3-1.jpg,700x480,Blood Sugar and Diabetes: A Simple Guide,"everyday healthy lifestyle scene related to Blood Sugar and Diabetes: A Simple Guide, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/blood-sugar/carousel-3-2.jpg,700x480,Blood Sugar and Diabetes: A Simple Guide,"everyday healthy lifestyle scene related to Blood Sugar and Diabetes: A Simple Guide, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/blood-sugar/carousel-3-3.jpg,700x480,Blood Sugar and Diabetes: A Simple Guide,"everyday healthy lifestyle scene related to Blood Sugar and Diabetes: A Simple Guide, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/blood-sugar/carousel-3-4.jpg,700x480,Blood Sugar and Diabetes: A Simple Guide,"everyday healthy lifestyle scene related to Blood Sugar and Diabetes: A Simple Guide, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/blood-sugar/cover.jpg,1000x560,Blood Sugar and Diabetes: A Simple Guide,"blood glucose monitor and test strip, diabetes management, clean medical photography"
images/brain-health/carousel-1-1.jpg,700x480,How Your Brain Works: A Simple Guide,"brain lobes diagram, labeled anatomy, medical illustration style (photo 1 of 4, a different angle/moment than the others in this set)"
images/brain-health/carousel-1-2.jpg,700x480,How Your Brain Works: A Simple Guide,"brain lobes diagram, labeled anatomy, medical illustration style (photo 2 of 4, a different angle/moment than the others in this set)"
images/brain-health/carousel-1-3.jpg,700x480,How Your Brain Works: A Simple Guide,"brain lobes diagram, labeled anatomy, medical illustration style (photo 3 of 4, a different angle/moment than the others in this set)"
images/brain-health/carousel-1-4.jpg,700x480,How Your Brain Works: A Simple Guide,"brain lobes diagram, labeled anatomy, medical illustration style (photo 4 of 4, a different angle/moment than the others in this set)"
images/brain-health/carousel-2-1.jpg,700x480,How Your Brain Works: A Simple Guide,"everyday healthy lifestyle scene related to How Your Brain Works: A Simple Guide, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/brain-health/carousel-2-2.jpg,700x480,How Your Brain Works: A Simple Guide,"everyday healthy lifestyle scene related to How Your Brain Works: A Simple Guide, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/brain-health/carousel-2-3.jpg,700x480,How Your Brain Works: A Simple Guide,"everyday healthy lifestyle scene related to How Your Brain Works: A Simple Guide, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/brain-health/carousel-2-4.jpg,700x480,How Your Brain Works: A Simple Guide,"everyday healthy lifestyle scene related to How Your Brain Works: A Simple Guide, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/brain-health/carousel-3-1.jpg,700x480,How Your Brain Works: A Simple Guide,"everyday healthy lifestyle scene related to How Your Brain Works: A Simple Guide, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/brain-health/carousel-3-2.jpg,700x480,How Your Brain Works: A Simple Guide,"everyday healthy lifestyle scene related to How Your Brain Works: A Simple Guide, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/brain-health/carousel-3-3.jpg,700x480,How Your Brain Works: A Simple Guide,"everyday healthy lifestyle scene related to How Your Brain Works: A Simple Guide, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/brain-health/carousel-3-4.jpg,700x480,How Your Brain Works: A Simple Guide,"everyday healthy lifestyle scene related to How Your Brain Works: A Simple Guide, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/brain-health/cover.jpg,1000x560,How Your Brain Works: A Simple Guide,"human brain illustration, neural network, clean medical style, purple and blue tones"
images/breathing/carousel-1-1.jpg,700x480,A 2-Minute Breathing Exercise for Anxious Moments,"box breathing pattern diagram, calm illustration, four steps, clean style (photo 1 of 4, a different angle/moment than the others in this set)"
images/breathing/carousel-1-2.jpg,700x480,A 2-Minute Breathing Exercise for Anxious Moments,"box breathing pattern diagram, calm illustration, four steps, clean style (photo 2 of 4, a different angle/moment than the others in this set)"
images/breathing/carousel-1-3.jpg,700x480,A 2-Minute Breathing Exercise for Anxious Moments,"box breathing pattern diagram, calm illustration, four steps, clean style (photo 3 of 4, a different angle/moment than the others in this set)"
images/breathing/carousel-1-4.jpg,700x480,A 2-Minute Breathing Exercise for Anxious Moments,"box breathing pattern diagram, calm illustration, four steps, clean style (photo 4 of 4, a different angle/moment than the others in this set)"
images/breathing/carousel-2-1.jpg,700x480,A 2-Minute Breathing Exercise for Anxious Moments,"everyday healthy lifestyle scene related to A 2-Minute Breathing Exercise for Anxious Moments, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/breathing/carousel-2-2.jpg,700x480,A 2-Minute Breathing Exercise for Anxious Moments,"everyday healthy lifestyle scene related to A 2-Minute Breathing Exercise for Anxious Moments, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/breathing/carousel-2-3.jpg,700x480,A 2-Minute Breathing Exercise for Anxious Moments,"everyday healthy lifestyle scene related to A 2-Minute Breathing Exercise for Anxious Moments, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/breathing/carousel-2-4.jpg,700x480,A 2-Minute Breathing Exercise for Anxious Moments,"everyday healthy lifestyle scene related to A 2-Minute Breathing Exercise for Anxious Moments, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/breathing/carousel-3-1.jpg,700x480,A 2-Minute Breathing Exercise for Anxious Moments,"everyday healthy lifestyle scene related to A 2-Minute Breathing Exercise for Anxious Moments, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/breathing/carousel-3-2.jpg,700x480,A 2-Minute Breathing Exercise for Anxious Moments,"everyday healthy lifestyle scene related to A 2-Minute Breathing Exercise for Anxious Moments, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/breathing/carousel-3-3.jpg,700x480,A 2-Minute Breathing Exercise for Anxious Moments,"everyday healthy lifestyle scene related to A 2-Minute Breathing Exercise for Anxious Moments, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/breathing/carousel-3-4.jpg,700x480,A 2-Minute Breathing Exercise for Anxious Moments,"everyday healthy lifestyle scene related to A 2-Minute Breathing Exercise for Anxious Moments, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/breathing/cover.jpg,1000x560,A 2-Minute Breathing Exercise for Anxious Moments,"calm breathing exercise, peaceful person, soft wellness illustration, blue tones"
images/cholesterol/carousel-1-1.jpg,700x480,"Cholesterol Explained: Good, Bad, and What to Do","LDL HDL cholesterol diagram, artery cross section, medical illustration (photo 1 of 4, a different angle/moment than the others in this set)"
images/cholesterol/carousel-1-2.jpg,700x480,"Cholesterol Explained: Good, Bad, and What to Do","LDL HDL cholesterol diagram, artery cross section, medical illustration (photo 2 of 4, a different angle/moment than the others in this set)"
images/cholesterol/carousel-1-3.jpg,700x480,"Cholesterol Explained: Good, Bad, and What to Do","LDL HDL cholesterol diagram, artery cross section, medical illustration (photo 3 of 4, a different angle/moment than the others in this set)"
images/cholesterol/carousel-1-4.jpg,700x480,"Cholesterol Explained: Good, Bad, and What to Do","LDL HDL cholesterol diagram, artery cross section, medical illustration (photo 4 of 4, a different angle/moment than the others in this set)"
images/cholesterol/carousel-2-1.jpg,700x480,"Cholesterol Explained: Good, Bad, and What to Do","everyday healthy lifestyle scene related to Cholesterol Explained: Good, Bad, and What to Do, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/cholesterol/carousel-2-2.jpg,700x480,"Cholesterol Explained: Good, Bad, and What to Do","everyday healthy lifestyle scene related to Cholesterol Explained: Good, Bad, and What to Do, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/cholesterol/carousel-2-3.jpg,700x480,"Cholesterol Explained: Good, Bad, and What to Do","everyday healthy lifestyle scene related to Cholesterol Explained: Good, Bad, and What to Do, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/cholesterol/carousel-2-4.jpg,700x480,"Cholesterol Explained: Good, Bad, and What to Do","everyday healthy lifestyle scene related to Cholesterol Explained: Good, Bad, and What to Do, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
